id,region,region_url,price,year,manufacturer,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color,state,lat,long
7033030320,12,12,49995,,,,6,0,28425,0,0,0,,6,10,6,33.4583,-111.926
7032997393,12,12,16999,2013,35,0,3,2,32000,0,0,2,,2,5,6,38.615,-121.272
7032997294,12,12,22999,2017,35,0,3,2,39000,0,1,0,,7,10,6,38.615,-121.272
7032997119,12,12,29999,2012,33,0,6,2,61000,0,0,0,,8,0,6,38.615,-121.272
7032996995,12,12,39999,2011,4,0,6,2,29000,0,0,2,,2,1,6,38.615,-121.272
7032996814,12,12,21999,2014,4,0,5,2,76000,0,0,2,,7,10,6,38.615,-121.272
7032996685,12,12,31999,2018,10,0,3,2,22000,0,0,0,,8,10,6,38.615,-121.272
7032996553,12,12,24999,2016,4,0,5,2,56000,0,0,2,,7,10,6,38.615,-121.272
7032996382,12,12,16999,2016,7,0,5,2,59000,0,0,,,,5,6,38.615,-121.272
7032996291,12,12,21999,2015,4,0,3,2,56000,0,0,0,,7,1,6,38.615,-121.272
7032996129,12,12,14999,2005,4,0,6,2,43000,0,0,2,,1,10,6,38.615,-121.272
7032996004,12,12,25999,2014,4,0,5,2,49000,0,0,0,,8,10,6,38.615,-121.272
7032995875,12,12,28999,2017,12,0,6,2,5000,0,1,2,,2,10,6,38.615,-121.272
7032929698,12,12,28950,2019,12,,6,2,2890,4,0,0,,9,10,6,40.7475,-111.939
7032906588,12,12,22995,2016,32,,6,2,54252,0,0,2,,6,0,6,33.4583,-111.926
7032869849,12,12,10550,2011,29,,6,2,66328,4,0,0,,9,5,6,40.7475,-111.939
7032859017,12,12,49995,,,,6,2,8512,0,0,0,,6,8,6,33.4583,-111.926
7032825687,12,12,30995,2019,12,,3,2,14649,0,0,0,,8,9,6,45.1637,-113.894
7032809893,12,12,34995,,,,5,,16161,0,0,0,,6,5,6,33.4583,-111.926
7032759586,12,12,12000,2005,32,0,,2,159626,1,0,,,,,6,43.708,-116.751
7032759329,12,12,58995,2017,12,,6,,32537,0,0,0,,6,0,6,33.4583,-111.926
7032716171,12,12,0,2008,,,,2,,0,0,1,,12,10,6,25.5935,-80.3618
7032693370,12,12,38995,2016,12,2,6,2,38086,0,0,0,1,9,10,6,44.355,-106.68
7032693342,12,12,46995,2018,19,2,5,2,20283,0,0,0,1,8,5,6,44.355,-106.68
7032693345,12,12,14995,2010,12,2,6,2,28656,0,1,2,2,2,1,6,44.355,-106.68
7032693348,12,12,56995,2018,12,2,5,2,34388,0,0,0,1,8,10,6,44.355,-106.68
7032693368,12,12,10995,2011,13,2,5,2,135529,0,0,0,1,8,3,6,44.355,-106.68
7032677755,12,12,16975,2013,15,,3,2,81226,0,0,0,,8,,6,39.6405,-104.961
7032647533,12,12,0,2015,29,,3,2,29475,0,0,1,,7,,6,39.6405,-104.961
7032623341,12,12,13999,2007,25,,5,2,48130,0,0,2,,1,,6,39.6405,-104.961
7049133161,14,13,21500,2015,13,0,6,2,126520,0,0,1,,,10,6,38.6578,-112.126
7050068262,14,13,3700,2005,24,0,3,2,,0,0,1,2,3,9,6,37.0831,-113.558
7050019663,14,13,34495,2012,7,,6,0,108437,0,0,0,,6,0,6,37.1756,-113.608
7050005015,14,13,17500,2018,37,3,3,2,33565,0,0,1,,8,8,6,37.6775,-113.062
7049991795,14,13,20495,2016,7,,6,4,33293,0,0,2,,12,10,6,37.1756,-113.608
7049991697,14,13,22795,2015,25,,5,0,216694,0,0,2,,12,0,6,37.1756,-113.608
7049926493,14,13,6795,2010,8,,5,2,123352,0,0,1,,12,3,6,37.1756,-113.608
7049899152,14,13,3150,2003,7,0,6,2,,0,0,0,2,8,0,6,37.1282,-113.676
7049882169,14,13,5500,2006,7,,,2,,0,0,,,,,6,36.1302,-115.275
7049847507,14,13,8845,2010,7,0,,2,61700,0,0,1,,7,9,6,37.0816,-113.585
7049847572,14,13,8490,2015,28,0,,2,51712,0,0,1,,3,7,6,37.0816,-113.585
7049839401,14,13,6445,2012,7,0,,2,99587,0,0,1,,7,10,6,37.0816,-113.585
7049839461,14,13,7435,2004,32,0,,2,201312,0,0,2,,6,9,6,37.0816,-113.585
7049834588,14,13,25495,2012,32,,5,0,314464,0,0,0,,6,10,6,37.1756,-113.608
7048934417,14,13,5000,2003,37,2,,2,209000,0,0,2,,9,10,6,37.6775,-113.062
7049796561,14,13,10499,2008,34,2,3,2,89869,0,1,2,,1,0,6,37.1756,-113.608
7049794023,14,13,7295,1981,7,0,,2,88728,0,0,0,,,10,6,36.152,-115.109
7049790822,14,13,23795,2009,7,,6,0,134031,0,0,0,,6,3,6,37.1756,-113.608
7049769173,14,13,9995,2008,13,0,3,0,200000,0,0,2,,6,,6,36.152,-115.109
7049736098,14,13,26795,2015,7,,6,4,100616,0,0,0,,6,9,6,37.1756,-113.608
7049628210,14,13,29000,2014,12,0,6,2,32000,0,0,0,1,6,0,6,37.1756,-113.608
7049480383,14,13,7999,2006,12,0,6,2,196000,0,0,1,1,9,10,6,37.1756,-113.608
7049465428,14,13,27701,2017,25,0,,2,39106,0,0,,,,,6,40.7548,-111.881
7049458404,14,13,21000,2013,37,0,5,2,119000,0,0,,,,,6,37.0979,-113.233
7049395159,14,13,6500,1999,29,0,3,2,75400,0,0,,,6,9,6,37.0831,-113.558
7049378665,14,13,550,1992,28,,3,2,,0,1,,,,,6,37.1364,-113.505
7049300579,14,13,19000,2010,37,0,6,2,,1,0,0,,9,0,6,37.6775,-113.062
7049249875,14,13,4500,2004,38,3,3,2,74000,0,0,1,0,3,11,6,37.0831,-113.558
7048798803,14,13,7500,1950,9,3,6,2,1000,0,0,1,2,9,5,6,37.0831,-113.558
7048784113,14,13,13500,2004,19,0,5,2,133287,0,0,0,2,8,3,6,37.1364,-113.505
7048747524,14,13,6000,1955,8,2,6,2,0,0,0,1,1,2,5,6,37.0831,-113.558
7048731596,14,13,1600,2004,12,,,2,98000,0,0,,,,,6,37.179,-113.707
7048720060,14,13,8995,2013,29,0,5,2,130423,0,0,1,,8,0,6,37.1756,-113.608
7048719021,14,13,2400,2002,7,2,6,2,194956,0,0,2,,8,0,6,37.1756,-113.608
7048714747,14,13,7295,2007,16,0,5,2,77580,0,0,0,2,8,0,6,37.1756,-113.608
7048701955,14,13,3495,2006,30,0,5,2,162033,0,0,1,,1,5,6,37.1756,-113.608
7048701604,14,13,3500,2009,37,0,3,2,191538,0,0,1,,7,0,6,37.1756,-113.608
7048698835,14,13,8400,2008,7,0,6,4,176353,4,0,2,1,8,10,6,37.1756,-113.608
7048696439,14,13,3600,2006,28,0,3,2,133000,0,0,1,,7,10,6,37.1756,-113.608
